Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
"Avamere Health Services, LLC",OR,Business Associate,197730,7/13/2022,Hacking/IT Incident,Network Server,Yes,
"Magie Mabrey Hughes Eye Clinic, P.A. dba “Arkansas Retina”",AR,Healthcare Provider,57394,7/13/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
"Synergic Healthcare Solutions, LLC d/b/a Fast Track Urgent Care Center",FL,Healthcare Provider,258411,7/12/2022,Hacking/IT Incident,Network Server,Yes,
Blue Shield of California ,CA,Health Plan,1506,7/12/2022,Hacking/IT Incident,Network Server,Yes,
Arlington Skin,VA,Healthcare Provider,17468,7/12/2022,Hacking/IT Incident,Electronic Medical Record,No,
Family Practice Center PC,PA,Healthcare Provider,83969,7/11/2022,Hacking/IT Incident,Network Server,No,
Southern California United Food & Commercial Workers Unions and Food Employers Benefit Fund,CA,Health Plan,850,7/8/2022,Theft,Paper/Films,No,
Associated Eye Care,MN,Healthcare Provider,40793,7/8/2022,Hacking/IT Incident,Network Server,Yes,
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,878,7/8/2022,Hacking/IT Incident,Network Server,Yes,
Cornerstone Services,IL,Healthcare Provider,2513,7/8/2022,Hacking/IT Incident,Network Server,No,
Wisconsin Department of Health Services,WI,Health Plan,1698,7/8/2022,Hacking/IT Incident,Other,Yes,
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,1089,7/8/2022,Hacking/IT Incident,Network Server,Yes,
Change Healthcare,GA,Business Associate,1262,7/7/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
Phoenixville Hospital,PA,Healthcare Provider,934,7/7/2022,Unauthorized Access/Disclosure,Desktop Computer,No,
Southwest Health Center,WI,Healthcare Provider,46142,7/5/2022,Hacking/IT Incident,Network Server,No,
Cheyenne Regional Medical Center ,WY,Healthcare Provider,1652,7/5/2022,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record",No,
"WellDyneRx, LLC",FL,Business Associate,43523,7/1/2022,Hacking/IT Incident,Email,Yes,
"Dr. Scott Heinlein Andrew, DPM d/b/a Affiliated Foot & Ankle Center",OH,Healthcare Provider,4692,7/1/2022,Hacking/IT Incident,Electronic Medical Record,No,
"Carolina Behavioral Health Alliance, LLC",NC,Business Associate,130922,7/1/2022,Hacking/IT Incident,Network Server,Yes,
CHRISTUS Spohn Health System Corporation,TX,Healthcare Provider,15062,7/1/2022,Hacking/IT Incident,Network Server,No,
"Professional Finance Company, Inc.",CO,Business Associate,1918941,7/1/2022,Hacking/IT Incident,Network Server,Yes,
"Bayhealth Medical Center, Inc.",DE,Healthcare Provider,17481,6/30/2022,Hacking/IT Incident,Network Server,Yes,
Community of Hope D.C.,DC,Healthcare Provider,645,6/30/2022,Hacking/IT Incident,Email,No,
Highmark Inc to send OCR spreadsheet with covered entities and contact information.,PA,Health Plan,511,6/30/2022,Unauthorized Access/Disclosure,Other,Yes,
Michigan Avenue Immediate Care,IL,Healthcare Provider,144104,6/30/2022,Hacking/IT Incident,Network Server,No,
"OrthoWest, PC",NE,Healthcare Provider,1369,6/30/2022,Hacking/IT Incident,Email,No,
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,628,6/30/2022,Hacking/IT Incident,Network Server,Yes,
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,1145,6/29/2022,Hacking/IT Incident,Network Server,Yes,
"Kevin Wolf, DPM d/b/a Goldsboro Podiatry",NC,Healthcare Provider,30669,6/28/2022,Hacking/IT Incident,Network Server,Yes,
St Joseph Heritage Health,CA,Healthcare Provider,7216,6/28/2022,Hacking/IT Incident,Network Server,Yes,
"Mattax Neu Prater Eye Center, Inc.",MO,Healthcare Provider,92361,6/28/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,735,6/27/2022,Hacking/IT Incident,Network Server,Yes,
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,1267,6/27/2022,Hacking/IT Incident,Network Server,Yes,
University Pediatric Dentistry,NY,Healthcare Provider,6843,6/24/2022,Hacking/IT Incident,Email,No,
Foxhall Ob Gyn Associates,DC,Healthcare Provider,27000,6/24/2022,Unauthorized Access/Disclosure,Other,No,
Hudson Regional Hospital,NJ,Healthcare Provider,1300,6/22/2022,Hacking/IT Incident,Network Server,Yes,
Winslow Memorial Hospital d/b/a Little Colorado Medical Center,AZ,Healthcare Provider,1000,6/21/2022,Hacking/IT Incident,Network Server,No,
Phelps County Regional Medical Center d/b/a Phelps Health ,MO,Healthcare Provider,12602,6/21/2022,Hacking/IT Incident,Network Server,Yes,
"Center for Sight, Inc.",MA,Healthcare Provider,41041,6/20/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
"Alabama Eye &Cataract, P.C.",AL,Healthcare Provider,26000,6/20/2022,Hacking/IT Incident,Network Server,Yes,
Yale New Haven Hospital,CT,Healthcare Provider,19496,6/17/2022,Unauthorized Access/Disclosure,Other,No,
Aloha Laser Vision,HI,Healthcare Provider,43263,6/17/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
Help at Home ,IL,Healthcare Provider,800,6/17/2022,Improper Disposal,Paper/Films,No,
Stokes Regional Eye Centers ,SC,Healthcare Provider,266170,6/17/2022,Hacking/IT Incident,Network Server,Yes,
"Kernersville Eye Surgeons, P.C. ",NC,Healthcare Provider,13412,6/17/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
"Tosoh America, Inc.",OH,Health Plan,880,6/17/2022,Hacking/IT Incident,Email,No,
"New Schryver, LLC d/b/a/ TridentCare",MD,Healthcare Provider,6200,6/16/2022,Theft,Other,No,
City of Cincinnati Health Plan,OH,Health Plan,9769,6/16/2022,Unauthorized Access/Disclosure,Network Server,No,
Long Vision Center ,TX,Healthcare Provider,29237,6/16/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
"Carolina Eyecare Physicians, LLC",SC,Healthcare Provider,68739,6/16/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
Mason Tenders’ District Council Welfare Fund,NY,Health Plan,13344,6/16/2022,Hacking/IT Incident,Network Server,No,
Baptist Medical Center,TX,Healthcare Provider,1608549,6/15/2022,Hacking/IT Incident,Network Server,No,
"The Vicksburg Clinic, LLC",MS,Healthcare Provider,744,6/15/2022,Hacking/IT Incident,Network Server,No,
Resolute Health Hospital,TX,Healthcare Provider,54239,6/15/2022,Hacking/IT Incident,Network Server,No,
UW Medicine,WA,Healthcare Provider,763,6/15/2022,Theft,Laptop,No,
"Sight Partners Physicians, P.C.",WA,Healthcare Provider,86101,6/14/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
"Cherry Creek Eye Physicians and Surgeons, P.C.",CO,Healthcare Provider,17732,6/14/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
"DialAmerica Marketing, Inc.",NJ,Business Associate,19796,6/12/2022,Hacking/IT Incident,Network Server,Yes,
"MCG Health, LLC",WA,Business Associate,793283,6/10/2022,Hacking/IT Incident,Network Server,Yes,
"Bayshore Brightwaters Rescue Ambulance, Inc.",NY,Healthcare Provider,500,6/10/2022,Hacking/IT Incident,Email,No,
Yuma Regional Medical Center,AZ,Healthcare Provider,737448,6/9/2022,Hacking/IT Incident,Network Server,No,
"90 Degree Benefits, Inc.",WI,Business Associate,172450,6/9/2022,Hacking/IT Incident,Network Server,Yes,
"Christiana Spine Center, PA",DE,Healthcare Provider,3500,6/9/2022,Hacking/IT Incident,Network Server,No,
Heartland Healthcare Services,OH,Healthcare Provider,2763,6/9/2022,Hacking/IT Incident,Network Server,No,
Chesapeake Eye Center PA,MD,Healthcare Provider,32770,6/9/2022,Hacking/IT Incident,Network Server,Yes,
Southern Ohio Medical Center,OH,Healthcare Provider,1333,6/8/2022,Hacking/IT Incident,Network Server,Yes,
CLARENDON HEALTH AND WELLNESS CENTER,SC,Healthcare Provider,3300,6/8/2022,Theft,"Desktop Computer, Electronic Medical Record, Laptop, Other Portable Electronic Device",No,
Orangeburg Eye Center ,SC,Healthcare Provider,9000,6/8/2022,Hacking/IT Incident,Network Server,Yes,
Central Florida Inpatient Medicine,FL,Healthcare Provider,19625,6/7/2022,Hacking/IT Incident,Email,No,
"Bergen's Promise, Inc.",NJ,Business Associate,6948,6/7/2022,Hacking/IT Incident,Email,Yes,
Atrium Health at Home,NC,Healthcare Provider,6695,6/7/2022,Hacking/IT Incident,Email,No,
Texas Tech University Health Sciences Center,TX,Healthcare Provider,1290104,6/7/2022,Hacking/IT Incident,Other,Yes,
Grandview Medical Center,AL,Healthcare Provider,1126,6/6/2022,Theft,Paper/Films,No,
"Memorial Community Health, Inc.",NE,Healthcare Provider,1658,6/6/2022,Hacking/IT Incident,Network Server,No,
Spectrum Eye Physicians,CA,Healthcare Provider,175000,6/6/2022,Hacking/IT Incident,Network Server,Yes,
McCoy Vision Center,AL,Healthcare Provider,33930,6/3/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
Kaiser Foundation Health Plan of Washington,WA,Healthcare Provider,69589,6/3/2022,Hacking/IT Incident,Email,No,
Clinivate LLC,CA,Business Associate,77652,6/2/2022,Hacking/IT Incident,Network Server,Yes,
"TOTS, Inc. dba Kiddos' Clubhouse",GA,Healthcare Provider,1986,6/2/2022,Hacking/IT Incident,Network Server,No,
University of Kansas Health System - Great Bend Campus,KS,Healthcare Provider,926,6/1/2022,Improper Disposal,Paper/Films,No,
Smile Solutions,WA,Healthcare Provider,8000,6/1/2022,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No,
"Burman & Zuckerbrod Ophthalmology Associates, P.C.",MI,Healthcare Provider,1337,6/1/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
Fishman Vision,CA,Healthcare Provider,2646,6/1/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
"Allied Urological Services, LLC ",NY,Business Associate,6280,5/31/2022,Hacking/IT Incident,Email,Yes,
"Associated Ophthalmologists of Kansas City, P.C.",MO,Healthcare Provider,13461,5/31/2022,Hacking/IT Incident,Electronic Medical Record,No,
Virginia Mason Medical Center ,WA,Healthcare Provider,1523,5/31/2022,Hacking/IT Incident,Network Server,No,
AU Health ,GA,Healthcare Provider,50631,5/27/2022,Hacking/IT Incident,"Electronic Medical Record, Other",Yes,
Sylvester Eye Care,OK,Healthcare Provider,19377,5/27/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
"Shields Health Care Group, Inc.",MA,Business Associate,2000000,5/27/2022,Hacking/IT Incident,Network Server,Yes,
Finkelstein Eye Associates ,IL,Healthcare Provider,48587,5/27/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,
Virginia Commonwealth University Health System,VA,Healthcare Provider,4441,5/27/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
University of Chicago Medical Center,IL,Healthcare Provider,2568,5/27/2022,Hacking/IT Incident,Email,No,
BJC Health System,MO,Business Associate,500,5/27/2022,Hacking/IT Incident,Email,Yes,
"Stephen Sims, MD, PA dba North Lakes Pain Consultants",TX,Healthcare Provider,8620,5/27/2022,Hacking/IT Incident,Network Server,No,
Capsule,NY,Healthcare Provider,27486,5/27/2022,Hacking/IT Incident,Network Server,No,
John Knox Village of Florida,FL,Healthcare Provider,5000,5/27/2022,Hacking/IT Incident,Email,No,
NLB Corporation,MI,Health Plan,1943,5/26/2022,Hacking/IT Incident,Network Server,No,
Aon PLC,IL,Business Associate,129682,5/26/2022,Hacking/IT Incident,Network Server,Yes,
"Comstar, LLC",MA,Business Associate,68957,5/26/2022,Hacking/IT Incident,Network Server,Yes,
Fred Hutchinson Cancer Center,WA,Healthcare Provider,500,5/25/2022,Hacking/IT Incident,Email,No,
"Moyes Eye Center, PC",MO,Healthcare Provider,38000,5/25/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
The Multiple Sclerosis Center of Atlanta,GA,Healthcare Provider,2820,5/25/2022,Hacking/IT Incident,Email,No,
"Family Health Care, Inc",KS,Healthcare Provider,33619,5/24/2022,Hacking/IT Incident,Network Server,No,
Val Verde Regional Medical Center (“VVRMC”) ,TX,Healthcare Provider,86562,5/24/2022,Hacking/IT Incident,Network Server,No,
Allwell Behavioral Health Services,OH,Healthcare Provider,29972,5/23/2022,Hacking/IT Incident,Network Server,No,
Washington University School of Medicine,MO,Health Plan,500,5/23/2022,Hacking/IT Incident,Email,No,
"Creative Hospice Care, Inc. dba Homestead Hospice & Palliative Care",GA,Healthcare Provider,28332,5/23/2022,Hacking/IT Incident,"Email, Laptop",No,
"County of Santa Barbara, Department of Behavioral Wellness",CA,Healthcare Provider,601,5/23/2022,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Laptop",No,
"Oswego County Opportunities, Inc.",NY,Healthcare Provider,7766,5/20/2022,Hacking/IT Incident,Email,No,
Health Care Administrative Services,VA,Healthcare Provider,500,5/20/2022,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Email, Network Server, Paper/Films",No,
"Aesto, LLC d/b/a Aesto Health",AL,Business Associate,17400,5/20/2022,Hacking/IT Incident,Network Server,Yes,
"OE Enterprises, Inc.",NC,Healthcare Provider,4075,5/20/2022,Hacking/IT Incident,Email,No,
Alameda Health System,CA,Healthcare Provider,90000,5/20/2022,Hacking/IT Incident,Email,No,
Georgia Pain and Spine Care ,GA,Healthcare Provider,1056,5/20/2022,Unauthorized Access/Disclosure,Email,Yes,
Partnership HealthPlan of California,CA,Health Plan,854913,5/18/2022,Hacking/IT Incident,Network Server,No,
Bryan County Ambulance Authority,OK,Healthcare Provider,14273,5/18/2022,Hacking/IT Incident,Network Server,No,
Allaire Healthcare Group,NJ,Healthcare Provider,13148,5/17/2022,Hacking/IT Incident,Email,No,
Northern Rockies Orthopaedics,MT,Healthcare Provider,6701,5/17/2022,Hacking/IT Incident,Email,No,
"Heidell, Pittoni, Murphy & Bach, LLP",NY,Business Associate,114979,5/16/2022,Hacking/IT Incident,Network Server,Yes,
Healthcare Assistance Plan for Employees of Seventh-day Adventist Organization of the North American Division,MD,Health Plan,2008,5/13/2022,Hacking/IT Incident,Network Server,No,
Parker-Hannifin Corporation Group Health Plans,OH,Health Plan,119513,5/13/2022,Hacking/IT Incident,Network Server,No,
Schneck Medical Center ,IN,Healthcare Provider,92311,5/13/2022,Hacking/IT Incident,Network Server,No,
"Behavioral Health Partners of Metrowest, LLC. ( ""BHPMW"")",MA,Business Associate,11288,5/12/2022,Hacking/IT Incident,Network Server,Yes,
Genetics & IVF Institute ,VA,Healthcare Provider,606,5/11/2022,Hacking/IT Incident,Network Server,No,
Summit Healthcare Association,AZ,Healthcare Provider,1403,5/11/2022,Hacking/IT Incident,Network Server,Yes,
Motion Picture Industry Health Plan,CA,Health Plan,16838,5/11/2022,Unauthorized Access/Disclosure,Paper/Films,No,
RiverKids Pediatric Home Health,TX,Healthcare Provider,3494,5/10/2022,Hacking/IT Incident,Email,No,
McKenzie Health System,MI,Healthcare Provider,25318,5/10/2022,Hacking/IT Incident,Network Server,No,
"Cypress Healthcare, LLC",AL,Healthcare Provider,900,5/9/2022,Theft,Laptop,No,
"NuLife Med, LLC",NH,Healthcare Provider,81244,5/9/2022,Hacking/IT Incident,Network Server,No,
Healthfirst,NY,Health Plan,5048,5/9/2022,Unauthorized Access/Disclosure,Paper/Films,No,
Oklahoma City Indian Clinic,OK,Healthcare Provider,38239,5/9/2022,Hacking/IT Incident,Network Server,No,
"Mindpath Care Centers, North Carolina, PLLC ",NC,Healthcare Provider,1781,5/6/2022,Hacking/IT Incident,Email,No,
Mississippi Sports Medicine and Orthopaedic Center - MSMOC,MS,Healthcare Provider,500,5/6/2022,Hacking/IT Incident,Network Server,No,
"North Alabama Bone & Joint Clinic, P.C.",AL,Healthcare Provider,500,5/6/2022,Hacking/IT Incident,"Email, Network Server",No,
"Covenant Care California, LLC, on behalf of Wagner Heights Nursing and Rehabilitation Center",CA,Healthcare Provider,4676,5/6/2022,Hacking/IT Incident,Email,No,
"CareSource, Inc",OH,Health Plan,959,5/6/2022,Unauthorized Access/Disclosure,Laptop,Yes,
"Guardian Pharmacy of Cincinnati LLC dba Mullaney’s, A Guardian Pharmacy",OH,Healthcare Provider,1720,5/6/2022,Unauthorized Access/Disclosure,Email,No,
"Optum, Inc. ",MN,Business Associate,1584,5/6/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
SAC Health System,CA,Healthcare Provider,149940,5/5/2022,Theft,Paper/Films,No,
Greater Nashua Mental Health,NH,Healthcare Provider,1085,5/4/2022,Hacking/IT Incident,Network Server,No,
Vail Health Services,CO,Healthcare Provider,41889,5/4/2022,Hacking/IT Incident,Network Server,No,
Thompson Child & Family Focus,NC,Healthcare Provider,986,5/3/2022,Hacking/IT Incident,Network Server,No,
Kenosha Community Health Center,WI,Healthcare Provider,2688,5/3/2022,Hacking/IT Incident,Email,No,
"Shutterfly, LLC",CA,Business Associate,2641,5/3/2022,Loss,Paper/Films,Yes,
FPS Medical Center,AZ,Healthcare Provider,28024,5/2/2022,Hacking/IT Incident,Network Server,No,
"National Imaging Associates, Inc.",MD,Business Associate,744,5/2/2022,Unauthorized Access/Disclosure,Laptop,Yes,
Methodist Le Bonheur Healthcare,TN,Healthcare Provider,1370,5/2/2022,Unauthorized Access/Disclosure,Desktop Computer,No,
Ad Astra Eye LLC,KS,Healthcare Provider,3684,4/29/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
Salusive Health Inc. MyNurse,CA,Healthcare Provider,1072,4/29/2022,Hacking/IT Incident,Network Server,No,
Refuah Health Center,NY,Healthcare Provider,260740,4/29/2022,Hacking/IT Incident,Network Server,No,
"Frank Eye Center, P.A.",KS,Healthcare Provider,26333,4/29/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
"Arkfeld, Parson, and Goldstein, P.C. doing business as ilumin",NE,Healthcare Provider,14984,4/29/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
The People Concern,CA,Healthcare Provider,7600,4/28/2022,Hacking/IT Incident,Email,No,
"Regional Eye Associates, Inc. & Surgical Eye Center of Morgantown",WV,Healthcare Provider,194035,4/28/2022,Hacking/IT Incident,Network Server,Yes,
"Northern Eye Care Associates, P.C.",MI,Healthcare Provider,8000,4/28/2022,Hacking/IT Incident,Network Server,Yes,
"Sterling Healthcare Holdings, LLC DBA Cordant Health Solutions",CO,Healthcare Provider,500,4/28/2022,Hacking/IT Incident,Email,No,
Affiliated Eye Surgeons,MI,Healthcare Provider,23400,4/28/2022,Hacking/IT Incident,Network Server,No,
SUMMIT EYE ASSOCIATES P.C.,TN,Healthcare Provider,53818,4/27/2022,Hacking/IT Incident,Other,Yes,
"Allied Eye Physicians and Surgeons, Inc.",OH,Healthcare Provider,20651,4/27/2022,Hacking/IT Incident,Network Server,Yes,
Southern Ohio Medical Center,OH,Healthcare Provider,15136,4/26/2022,Hacking/IT Incident,Network Server,No,
"Select Benefits Group, LLC dba Dental Select",UT,Business Associate,1035,4/26/2022,Hacking/IT Incident,Email,Yes,
ARcare,AR,Healthcare Provider,345353,4/25/2022,Hacking/IT Incident,Network Server,No,
Montefiore Medical Center ,NY,Healthcare Provider,3717,4/22/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
The Mental Health Center of Greater Manchester,NH,Healthcare Provider,1322,4/22/2022,Hacking/IT Incident,Network Server,Yes,
"Illinois Gastroenterology Group, PLLC",IL,Healthcare Provider,227943,4/22/2022,Hacking/IT Incident,Network Server,No,
JM Pension Advisory Inc.,MD,Business Associate,897,4/22/2022,Loss,Other Portable Electronic Device,Yes,
"National Imaging Associates, Inc.",MD,Business Associate,616,4/22/2022,Unauthorized Access/Disclosure,Laptop,Yes,
"Homestead Bldg Sys,Inc.Health  Plan",VA,Health Plan,727,4/21/2022,Hacking/IT Incident,Network Server,No,
The Energy Cooperative Group Benefits Plan,OH,Health Plan,875,4/21/2022,Hacking/IT Incident,Network Server,No,
County of Los Angeles Department of Mental Health,CA,Healthcare Provider,5129,4/20/2022,Hacking/IT Incident,Email,No,
"Healthplex, Inc.",NY,Health Plan,89955,4/20/2022,Hacking/IT Incident,Email,No,
"Wayne Family Practice Associates, PC",GA,Healthcare Provider,5944,4/19/2022,Hacking/IT Incident,Network Server,No,
"Fairfield County Implants and Periodontics, LLC",CT,Healthcare Provider,10502,4/19/2022,Hacking/IT Incident,Email,No,
"Optima Dermatology Holdings, LLC",NH,Healthcare Provider,59872,4/18/2022,Hacking/IT Incident,Email,No,
"HealthActions, P.A.",AL,Healthcare Provider,2369,4/18/2022,Hacking/IT Incident,Email,No,
Canon Business Process Services Inc,NY,Business Associate,1625,4/15/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
Canon Business Process Services Inc,NY,Business Associate,745,4/15/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
Canon Business Process Services Inc,NY,Business Associate,8015,4/15/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
Spectrum Health System,MI,Healthcare Provider,794,4/15/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Central Florida Cardiology Group ,FL,Healthcare Provider,1186,4/14/2022,Hacking/IT Incident,Other,Yes,
New Creation Counseling Center ,OH,Healthcare Provider,24029,4/14/2022,Hacking/IT Incident,"Network Server, Other",No,
Newman Regional Health,KS,Healthcare Provider,52224,4/14/2022,Hacking/IT Incident,Email,No,
Onehome Health Solutions,FL,Healthcare Provider,15401,4/13/2022,Theft,Laptop,No,
Lutheran Services Carolinas,NC,Business Associate,1226,4/12/2022,Hacking/IT Incident,Network Server,Yes,
Adaptive Health Integrations,ND,Healthcare Provider,510574,4/11/2022,Hacking/IT Incident,Network Server,No,
"Healthcare Collections - I, LLC",AZ,Business Associate,900,4/11/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
Chinese Community Health Plan ,CA,Health Plan,502,4/11/2022,Unauthorized Access/Disclosure,Paper/Films,No,
Von Behren & Hunter LLP,CA,Business Associate,5852,4/11/2022,Hacking/IT Incident,Network Server,Yes,
Altoona Area School District Health Plan,PA,Health Plan,9196,4/11/2022,Hacking/IT Incident,Network Server,No,
The MetroHealth System,OH,Healthcare Provider,1748,4/11/2022,Unauthorized Access/Disclosure,"Electronic Medical Record, Email, Paper/Films",No,
"Pediatric Associates, P.C.",VA,Healthcare Provider,13000,4/8/2022,Hacking/IT Incident,Network Server,Yes,
Ballad Health,TN,Healthcare Provider,4295,4/8/2022,Hacking/IT Incident,Email,No,
Georgia Pines CSB,GA,Healthcare Provider,24000,4/8/2022,Theft,"Laptop, Other",No,
"WellStar Health System, Inc.",GA,Healthcare Provider,30417,4/8/2022,Hacking/IT Incident,Email,No,
East Tennessee Children's Hospital,TN,Healthcare Provider,501,4/7/2022,Hacking/IT Incident,Network Server,No,
SummaCare Inc,OH,Health Plan,716,4/7/2022,Unauthorized Access/Disclosure,Network Server,No,
Bishop Eye Center,SC,Healthcare Provider,2292,4/7/2022,Hacking/IT Incident,Network Server,No,
Advantage Benefits Group,MI,Business Associate,7147,4/6/2022,Hacking/IT Incident,Email,Yes,
State of Arizona Department of Administration,AZ,Health Plan,820,4/5/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
River City Insurance Group d/b/a Lavinder Group & Associates,VA,Business Associate,1118,4/5/2022,Hacking/IT Incident,Email,Yes,
"The Guidance Center, Inc.",AZ,Healthcare Provider,23104,4/5/2022,Hacking/IT Incident,Email,No,
Urgent Team Holdings,TN,Healthcare Provider,166601,3/31/2022,Hacking/IT Incident,Network Server,No,
Englewood Health,NJ,Healthcare Provider,3901,3/30/2022,Hacking/IT Incident,Network Server,No,
Resources for Human Development,PA,Healthcare Provider,46673,3/29/2022,Theft,Other Portable Electronic Device,No,
"Law Enforcement Health Benefits, Inc.",PA,Health Plan,85282,3/28/2022,Hacking/IT Incident,Network Server,No,
Medical Surgical Eye Care,KS,Healthcare Provider,2000,3/28/2022,Hacking/IT Incident,Network Server,No,
"Super Care, Inc. dba SuperCare Health",CA,Healthcare Provider,318379,3/28/2022,Hacking/IT Incident,Network Server,No,
"Charleston Area Medical Center, Inc.",WV,Healthcare Provider,54000,3/28/2022,Hacking/IT Incident,Email,No,
"Colorado Physician Partners, PLLC",CO,Healthcare Provider,12877,3/25/2022,Hacking/IT Incident,Email,No,
"Cytometry Specialists, Inc., d/b/a CSI Laboratories",GA,Healthcare Provider,312000,3/25/2022,Hacking/IT Incident,Network Server,No,
Lutheran Social Services of Illinois,IL,Healthcare Provider,1000,3/25/2022,Hacking/IT Incident,Network Server,No,
"Christie Business Holdings Company, P.C.",IL,Healthcare Provider,502869,3/25/2022,Hacking/IT Incident,Email,No,
Advanced Medical Practice Management,NJ,Business Associate,56427,3/23/2022,Hacking/IT Incident,Network Server,Yes,
"Thomas Allen, Inc.",MN,Healthcare Provider,2803,3/23/2022,Hacking/IT Incident,Email,No,
Taylor Regional Hospital ,KY,Healthcare Provider,190209,3/21/2022,Hacking/IT Incident,Network Server,No,
Valley View Hospital Association,CO,Healthcare Provider,501,3/19/2022,Hacking/IT Incident,Email,No,
Cancer and Hematology Centers of Western Michigan ,MI,Healthcare Provider,43071,3/18/2022,Hacking/IT Incident,Network Server,No,
Wheeling Health Right Inc,WV,Healthcare Provider,3912,3/18/2022,Hacking/IT Incident,Network Server,No,
"Clinic of North Texas, LLP",TX,Healthcare Provider,244174,3/18/2022,Hacking/IT Incident,Network Server,No,
Central Minnesota Mental Health Center,MN,Healthcare Provider,28725,3/17/2022,Hacking/IT Incident,Email,No,
Chelan Douglas Health District,WA,Healthcare Provider,188236,3/15/2022,Hacking/IT Incident,Network Server,No,
Laboratorio Clinico Toledo,,Healthcare Provider,500,3/14/2022,Hacking/IT Incident,Network Server,No,
"Trinity Home Care, Inc.",MA,Healthcare Provider,1541,3/14/2022,Hacking/IT Incident,Network Server,No,
Capital Region Medical Center,MO,Healthcare Provider,17578,3/11/2022,Hacking/IT Incident,Network Server,No,
Major League Baseball Players Benefit Plan,MD,Health Plan,13156,3/11/2022,Hacking/IT Incident,Network Server,Yes,
Labette Health,KS,Healthcare Provider,85635,3/11/2022,Hacking/IT Incident,Network Server,No,
Highmark Inc,PA,Health Plan,67147,3/11/2022,Hacking/IT Incident,Network Server,Yes,
"Dialyze Direct, LLC",NJ,Healthcare Provider,14203,3/10/2022,Hacking/IT Incident,Email,No,
New Jersey Brain and Spine,NJ,Healthcare Provider,92453,3/10/2022,Hacking/IT Incident,Network Server,No,
"Gainwell Technologies, LLC",TX,Business Associate,810,3/10/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"Gainwell Technologies, LLC",TX,Business Associate,1955,3/10/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"Horizon Actuarial Services, LLC (“Horizon Actuarial”)",GA,Business Associate,38418,3/9/2022,Hacking/IT Incident,Network Server,Yes,
"Parkland Community Health Plan, Inc.",TX,Health Plan,1682,3/8/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
Central Indiana Orthopedics,IN,Healthcare Provider,83705,3/7/2022,Hacking/IT Incident,Network Server,No,
Laboratorio Clínico Caparros,,Healthcare Provider,500,3/6/2022,Hacking/IT Incident,Network Server,No,
"South Denver Cardiology Associates, PC",CO,Healthcare Provider,287652,3/4/2022,Hacking/IT Incident,Network Server,No,
"Duncan Regional Hospital, Incorporated",OK,Healthcare Provider,86379,3/4/2022,Hacking/IT Incident,Network Server,No,
"Indiana Hemophilia and Thrombosis Center, Inc.",IN,Healthcare Provider,2575,3/4/2022,Hacking/IT Incident,Email,No,
Familylinks,PA,Healthcare Provider,1494,3/4/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,
